,restaurant,lat,lon,address,price($),tag,star,description,tokens,dominant_topic,topic_id,consumer_type,consumer_scene
0,Cote,40.741423,-73.991463,"16 W. 22nd St., New York, 10010, USA",4,"Korean, Steakhouse",1,"Korean-born Simon Kim opened Cote as a joyful celebration of his home country’s love for beef allied with his admiration for the great American steakhouse. Just head downstairs and admire the meats hanging in the aging room. The space also breaks the norm in its mien—dark, moody and atmospheric. There’s a comprehensive wine list too, which, if you look close enough, offers nuggets of value. (Downstairs is their ersatz speakeasy, Undercote.)
First-timers should go for the “Butcher’s Feast” featuring different cuts of beef, an egg soufflé, and enough banchan to cover your table. Meats are first presented raw for you to admire; your server then oils the grill and expertly cooks them. A supporting cast of kimchi and ssamjang merely elevate their flavor.","['koreanborn', 'simon', 'kim', 'open', 'cote', 'joy', 'celebr', 'hi', 'home', 'countri', 'love', 'beef', 'alli', 'hi', 'admir', 'american', 'steakhous', 'head', 'downstair', 'admir', 'meat', 'hang', 'age', 'room', 'space', 'break', 'norm', 'miendark', 'moodi', 'atmospher', 'there', 'comprehens', 'wine', 'list', 'too', 'which', 'look', 'close', 'enough', 'offer', 'nugget', 'valu', 'downstair', 'ersatz', 'speakeasi', 'undercot', 'firsttim', 'should', 'butcher', 'feast', 'featur', 'differ', 'cut', 'beef', 'egg', 'souffl', 'enough', 'banchan', 'cover', 'tabl', 'meat', 'first', 'present', 'raw', 'admir', 'server', 'then', 'oil', 'grill', 'expertli', 'cook', 'them', 'support', 'cast', 'kimchi', 'ssamjang', 'mere', 'elev', 'flavor']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
1,Jua,40.740014,-73.987448,"36 E. 22nd St., New York, 10010, USA",4,"Korean, Contemporary",1,"Several years in, and Chef Hoyoung Kim and his team continue to deliver their promise of a nicely poised, modern Korean prix-fix that is both familiar and substantial. Jook with smoked eel and sesame is as comforting as it is refined, while crispy seaweed cradling tuna tartare and rice capped with caviar is as luxurious of a start as one could hope for. Have you ever seen a banchan as minimalist and as impactful as this one? Probably not. Dinner typically ends with a glazed Korean-style donut and a silky-smooth orb of ice cream. All the while, this slim and sleek restaurant is right at home being in such close proximity to the Flatiron Building thanks to its soaring ceilings, sultry lighting and a packed dining room humming with energy.","['sever', 'year', 'chef', 'hoyoung', 'kim', 'hi', 'team', 'continu', 'deliv', 'promis', 'pois', 'korean', 'prixfix', 'both', 'familiar', 'substanti', 'jook', 'smoke', 'eel', 'sesam', 'comfort', 'refin', 'while', 'crispi', 'seawe', 'cradl', 'tuna', 'tartar', 'rice', 'cap', 'caviar', 'start', 'one', 'could', 'hope', 'ever', 'seen', 'banchan', 'minimalist', 'impact', 'one', 'probabl', 'not', 'dinner', 'typic', 'end', 'glaze', 'koreanstyl', 'donut', 'silkysmooth', 'orb', 'ice', 'cream', 'while', 'slim', 'sleek', 'restaur', 'right', 'home', 'be', 'close', 'proxim', 'flatiron', 'build', 'thank', 'soar', 'ceil', 'sultri', 'light', 'pack', 'dine', 'room', 'hum', 'energi']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
2,Shota Omakase,40.713524,-73.965932,"50 S. 3rd St., Brooklyn, 11249, USA",4,"Japanese, Sushi",1,"Far from the subway stop on a quiet street in Williamsburg, find this welcoming omakase counter hidden away near Domino Park. Chef Cheng Lin sets the tone as a friendly, relaxed guide for the night’s proceedings. And whereas some chefs practically take vows of silence with regards to sourcing and technique, he is quick to share where in Japan the fish is from, why he uses Inochi-no Ichi rice, and what it took to find his special aged soys and vinegars. His intentionality delivers in the form of excellent, seasonal product and a fine-tuned parade of nigiri, for which the rice is refreshed repeatedly. Prepared dishes like binchotan-seared sawara with citrus sauce, shiso, and nori or even a restorative cup of dashi with mushrooms also show distinction.","['far', 'subway', 'stop', 'quiet', 'street', 'williamsburg', 'find', 'welcom', 'omakas', 'counter', 'hidden', 'away', 'near', 'domino', 'park', 'chef', 'cheng', 'lin', 'set', 'tone', 'friendli', 'relax', 'guid', 'night', 'proceed', 'wherea', 'some', 'chef', 'practic', 'take', 'vow', 'silenc', 'regard', 'sourc', 'techniqu', 'quick', 'share', 'where', 'japan', 'fish', 'whi', 'use', 'inochino', 'ichi', 'rice', 'what', 'took', 'find', 'hi', 'age', 'soy', 'vinegar', 'hi', 'intention', 'deliv', 'form', 'product', 'finetun', 'parad', 'nigiri', 'which', 'rice', 'refresh', 'repeatedli', 'prepar', 'dish', 'like', 'binchotansear', 'sawara', 'citru', 'sauc', 'shiso', 'nori', 'even', 'restor', 'cup', 'dashi', 'mushroom', 'show', 'distinct']",4,4,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
3,Eleven Madison Park,40.741554,-73.987241,"
11 Madison Ave., New York, 10010, USA",4,"Vegan, Innovative",3,"Chef Daniel Humm presides over this temple of modern elegance with a zealous dedication to masterful precision. Nothing is out of place and everything is custom made, from the staff’s suits to the handblown water vases.
The plant-based menu is a bold vision of luxury dining and elevates the concept to unparalleled heights. The freshly baked, delicately crisped vegan roll presented with faux butter is a magical creation. A quenelle of tonburi, mimicking caviar, plated with horseradish cream and accompanied by a radish tostada with a swipe of pumpkin seed butter is simply stunning. Toothsome braised seitan, wrapped in spinach and dressed with morels, is amplified with luscious sauce work.
Desserts, perhaps a frozen cherry blossom and rose confection dressed with strawberries, are equally accomplished.","['chef', 'daniel', 'humm', 'presid', 'over', 'templ', 'eleg', 'zealou', 'dedic', 'master', 'precis', 'noth', 'out', 'place', 'everyth', 'custom', 'made', 'staff', 'suit', 'handblown', 'water', 'vase', 'plantbas', 'menu', 'bold', 'vision', 'dine', 'elev', 'concept', 'unparallel', 'height', 'freshli', 'bake', 'delic', 'crisp', 'vegan', 'roll', 'present', 'faux', 'butter', 'magic', 'creation', 'quenel', 'tonburi', 'mimick', 'caviar', 'plate', 'horseradish', 'cream', 'accompani', 'radish', 'tostada', 'swipe', 'pumpkin', 'seed', 'butter', 'simpli', 'stun', 'toothsom', 'brais', 'seitan', 'wrap', 'spinach', 'dress', 'morel', 'amplifi', 'lusciou', 'sauc', 'work', 'dessert', 'perhap', 'frozen', 'cherri', 'blossom', 'rose', 'confect', 'dress', 'strawberri', 'equal', 'accomplish']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
4,Francie,40.710346,-73.963759,"134 Broadway, Brooklyn, 11249, USA",4,"Contemporary, Italian",1,"Francie is headed by John Winterman and native New Yorker, Chef Chris Cipollone. Set within a striking, limestone-clad building in South Williamsburg, this haven features sleek ash wood and mosaic tile flooring, exposed red brick walls, and widely spaced tables.
The open kitchen is a true-to-life stage for this team, who can be seen prepping, cooking, and putting the finishing touches on a series of Mediterranean-style plates. Pasta is a must, as in the conchiglie with a luscious clam sauce. Shelled clams, bits of bacon, and sesame breadcrumbs complete the delightful preparation. Lamb is a springtime treat when dressed with green garlic persillade and young onion soubise. Caramelized apple atop buttery cake with crème fraîche and green apple brunoise is a fine finale to the array of impressive cuisine offered here.","['franci', 'head', 'john', 'winterman', 'nativ', 'new', 'yorker', 'chef', 'chri', 'cipollon', 'set', 'within', 'strike', 'limestoneclad', 'build', 'south', 'williamsburg', 'haven', 'featur', 'sleek', 'ash', 'wood', 'mosaic', 'tile', 'floor', 'expos', 'red', 'brick', 'wall', 'wide', 'space', 'tabl', 'open', 'kitchen', 'truetolif', 'stage', 'team', 'who', 'can', 'seen', 'prep', 'cook', 'put', 'finish', 'touch', 'seri', 'mediterraneanstyl', 'plate', 'pasta', 'must', 'conchigli', 'lusciou', 'clam', 'sauc', 'shell', 'clam', 'bit', 'bacon', 'sesam', 'breadcrumb', 'complet', 'delight', 'prepar', 'lamb', 'springtim', 'treat', 'when', 'dress', 'green', 'garlic', 'persillad', 'young', 'onion', 'soubis', 'caramel', 'appl', 'atop', 'butteri', 'cake', 'crme', 'frach', 'green', 'appl', 'brunois', 'final', 'array', 'cuisin', 'offer', 'here']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
5,Atomix,40.744306,-73.982675,"104 E. 30th St., New York, 10016, USA",4," Korean, Contemporary",2,"Chef Junghyun Park and his wife Ellia are global ambassadors for contemporary Korean cooking, but all roads lead back to their Murray Hill brownstone. Sporting dark finishes and soothing earth tones, the room unfolds into a chic bar and subterranean dining counter that is as warm and as inviting as the servers. This is one of the city’s most coveted reservations – and for good reason. Raw marinated blue crab – ganjang gejang – arrives reimagined as a tart with golden queen rice. Fluke from Jeju Island comes paired with abalone and watermelon. Filefish and veal tartare sings with a bold liver sauce. The menu is ever-evolving, but the team's commitment to Korean traditions prepared with finesse and flair is steadfast.","['chef', 'junghyun', 'park', 'hi', 'wife', 'ellia', 'global', 'ambassador', 'contemporari', 'korean', 'cook', 'but', 'road', 'lead', 'back', 'murray', 'hill', 'brownston', 'sport', 'dark', 'finish', 'sooth', 'earth', 'tone', 'room', 'unfold', 'chic', 'bar', 'subterranean', 'dine', 'counter', 'warm', 'invit', 'server', 'one', 'citi', 'most', 'covet', 'reserv', 'reason', 'raw', 'marin', 'blue', 'crab', 'ganjang', 'gejang', 'arriv', 'reimagin', 'tart', 'golden', 'queen', 'rice', 'fluke', 'jeju', 'island', 'come', 'pair', 'abalon', 'watermelon', 'filefish', 'veal', 'tartar', 'sing', 'bold', 'liver', 'sauc', 'menu', 'everevolv', 'but', 'team', 'commit', 'korean', 'tradit', 'prepar', 'finess', 'flair', 'steadfast']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
6,The Four Horsemen,40.712926,-73.9575,"295 Grand St., Brooklyn, 11211, USA",4,"American, Californian",1,"Reservations are required or be ready to queue at this eternally cool Williamsburg wine bar part-owned by LCD Soundsystem frontman, James Murphy. Four Horseman's wine list is eclectic and laser-focused on varietals, and Chef Nick Curtola's succinct and seasonally changing menu rarely misses.
Start with the veal sweetbread skewers with soy-cured egg yolk. Or the crisp chickpea crepe, woven with pieces of squash blossoms that lures you in with a layer of glistening lardon. Fried skate wing comes to you deep golden and impossibly crisp, and the Berkshire pork is tender with a hint of cider glaze. Let the sociable staff talk you into closing over a silky crème caramel topped with deeply toasted crispy bits of soba.","['reserv', 'requir', 'readi', 'queue', 'etern', 'cool', 'williamsburg', 'wine', 'bar', 'partown', 'lcd', 'soundsystem', 'frontman', 'jame', 'murphi', 'four', 'horseman', 'wine', 'list', 'eclect', 'laserfocus', 'variet', 'chef', 'nick', 'curtola', 'succinct', 'season', 'chang', 'menu', 'rare', 'miss', 'start', 'veal', 'sweetbread', 'skewer', 'soycur', 'egg', 'yolk', 'crisp', 'chickpea', 'crepe', 'woven', 'piec', 'squash', 'blossom', 'lure', 'layer', 'glisten', 'lardon', 'fri', 'skate', 'wing', 'come', 'deep', 'golden', 'imposs', 'crisp', 'berkshir', 'pork', 'tender', 'hint', 'cider', 'glaze', 'let', 'sociabl', 'staff', 'talk', 'close', 'over', 'silki', 'crme', 'caramel', 'top', 'deepli', 'toast', 'crispi', 'bit', 'soba']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
7,Joo Ok,40.747503,-73.986724,"22 W. 32nd St., 16th Fl., New York, 10001, USA",4,"Korean, Contemporary",1,"This Seoul transplant has an unusual entrance—via freight elevator up 16 floors—but the elegant space is instantly inviting. Echoing a traditional Korean home, guests are welcomed with savory crackers and drinks before being escorted to the dining room, where a minimalist design is juxtaposed with views of the Manhattan skyline. Joo Ok delivers a Korean tasting menu that is rooted in tradition but presented through a modern lens. Dishes are stunning, as in the jat jeup chae - tender lobster and Korean pear tucked inside salted cucumber slices. A puff of deeply savory soy sauce-braised chicken thighs is texturally effervescent, but their signature deul gi reum with diced geoduck, spotted shrimp, and a whole quail egg in house-pressed perilla seed oil is equally memorable.","['seoul', 'transplant', 'unusu', 'entrancevia', 'freight', 'elev', 'floorsbut', 'space', 'instantli', 'invit', 'echo', 'korean', 'home', 'guest', 'welcom', 'savori', 'cracker', 'drink', 'befor', 'be', 'escort', 'dine', 'room', 'where', 'minimalist', 'design', 'juxtapos', 'view', 'manhattan', 'skylin', 'joo', 'deliv', 'korean', 'tast', 'menu', 'root', 'tradit', 'but', 'present', 'through', 'len', 'dish', 'stun', 'jat', 'jeup', 'chae', 'tender', 'lobster', 'korean', 'pear', 'tuck', 'insid', 'salt', 'cucumb', 'slice', 'puff', 'deepli', 'savori', 'soy', 'saucebrais', 'chicken', 'thigh', 'textur', 'effervesc', 'but', 'signatur', 'deul', 'reum', 'dice', 'geoduck', 'spot', 'shrimp', 'whole', 'quail', 'egg', 'housepress', 'perilla', 'seed', 'oil', 'equal']",4,4,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
8,Nōksu,40.74835,-73.987997,"49 W. 32nd St., New York, 10001, USA",4,"Contemporary, Korean",1,"Eating underground in the subway system may not sound appealing, but that hasn't stopped Chef Dae Kim. In the heart of Koreatown at Herald Square behind a code-locked door, find a black marble counter that stretches the length of the room. Every chef is armed with tweezers to manage and primp gorgeous dishes that are largely contemporary in their design. Seafood is a serious focus with the likes of crab, fluke, clams, and mackerel. The restaurant’s signature is obvious once you spot the squab dry aging in a fridge. Against the backdrop of 80s hits playing overhead, a chef holds the bird up and repeatedly ladles hot oil over it in the style of Peking duck. It’s a defining reminder that in New York City, anything can happen anywhere.","['eat', 'underground', 'subway', 'system', 'may', 'not', 'sound', 'appeal', 'but', 'hasnt', 'stop', 'chef', 'dae', 'kim', 'heart', 'koreatown', 'herald', 'squar', 'behind', 'codelock', 'door', 'find', 'black', 'marbl', 'counter', 'stretch', 'length', 'room', 'everi', 'chef', 'arm', 'tweezer', 'manag', 'primp', 'dish', 'larg', 'contemporari', 'design', 'seafood', 'seriou', 'focu', 'like', 'crab', 'fluke', 'clam', 'mackerel', 'restaur', 'signatur', 'obviou', 'onc', 'spot', 'squab', 'dri', 'age', 'fridg', 'against', 'backdrop', 'hit', 'play', 'overhead', 'chef', 'hold', 'bird', 'repeatedli', 'ladl', 'hot', 'oil', 'over', 'style', 'peke', 'duck', 'defin', 'remind', 'new', 'york', 'citi', 'anyth', 'can', 'happen', 'anywher']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
9,Oxomoco,40.730022,-73.955504,"128 Greenpoint Ave., Brooklyn, 11222, USA",3,"Mexican, Contemporary",1,"Don’t let the casual ambience fool you: Oxomoco is a serious dining room capable of great things in its wood-fired oven. The room is lively and packed but always conducive to conversation.
Tacos are the main draw, especially when piled with the likes of tender flank steak or soft-shell crab. However, this kitchen team doesn’t stick to merely one dish or area of Mexico. Instead, they reach widely across a myriad of regions, always balancing abundance with fresh and vibrant flavors. The menu thereby tempts and tantalizes with such large and small items as the tropical hamachi agua chile and tlayuda crafted from smoky corn on a shell. Other standouts include the brined, fried and smoked “giant chicken.""","['dont', 'let', 'casual', 'ambienc', 'fool', 'oxomoco', 'seriou', 'dine', 'room', 'capabl', 'thing', 'woodfir', 'oven', 'room', 'live', 'pack', 'but', 'alway', 'conduc', 'convers', 'taco', 'main', 'draw', 'especi', 'when', 'pile', 'like', 'tender', 'flank', 'steak', 'softshel', 'crab', 'howev', 'kitchen', 'team', 'doesnt', 'stick', 'mere', 'one', 'dish', 'area', 'mexico', 'instead', 'reach', 'wide', 'across', 'myriad', 'region', 'alway', 'balanc', 'abund', 'vibrant', 'flavor', 'menu', 'therebi', 'tempt', 'tantal', 'larg', 'small', 'item', 'tropic', 'hamachi', 'agua', 'chile', 'tlayuda', 'craft', 'smoki', 'corn', 'shell', 'other', 'standout', 'includ', 'brine', 'fri', 'smoke', 'giant', 'chicken']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
